Pennycress_Protein,PennycressGeneID,Domain1,Domain2,GO Terms,ArabidopsisGeneID,Arabidopsis_Protein_Name,Entrez_geneID
CAH2058363.1,TAV2_LOCUS12532,"Apoptosis, Tumor Necrosis Factor Receptor Associated Protein 2; Chain A",TRAF-like,GO:0005515,AT2G42470,"TRAF-like	family	protein	","818847	"
CAH2058362.1,TAV2_LOCUS12533,math_3,MATH/TRAF domain,GO:0005515,AT2G42455,"MATH	domain/coiled-coil	protein	","28718347	"
CAH2058358.1,TAV2_LOCUS14289,MATH domain,MATH/TRAF domain,GO:0005515,AT2G42455,"MATH	domain/coiled-coil	protein	","28718347	"
CAH2047693.1,TAV2_LOCUS6220,"Apoptosis, Tumor Necrosis Factor Receptor Associated Protein 2; Chain A",TRAF-like,GO:0005515,AT2G42455,"MATH	domain/coiled-coil	protein	","28718347	"
CAH2047691.1,TAV2_LOCUS6219,math_3,MATH/TRAF domain,GO:0005515,AT2G42455,"MATH	domain/coiled-coil	protein	","28718347	"
CAH2047703.1,TAV2_LOCUS7385,MATH,MATH/TRAF domain,GO:0005515,AT2G42455,"MATH	domain/coiled-coil	protein	","28718347	"
CAH2047709.1,TAV2_LOCUS7383,MATH,MATH/TRAF domain,GO:0005515,AT2G42455,"MATH	domain/coiled-coil	protein	","28718347	"
CAH2047717.1,TAV2_LOCUS7381,"Apoptosis, Tumor Necrosis Factor Receptor Associated Protein 2; Chain A",TRAF-like,GO:0005515,AT2G42455,"MATH	domain/coiled-coil	protein	","28718347	"
CAH2047682.1,TAV2_LOCUS5043,"Apoptosis, Tumor Necrosis Factor Receptor Associated Protein 2; Chain A",TRAF-like,GO:0005515,AT2G42455,"MATH	domain/coiled-coil	protein	","28718347	"
CAH2047674.1,TAV2_LOCUS5047,MATH,MATH/TRAF domain,GO:0005515,AT2G42455,"MATH	domain/coiled-coil	protein	","28718347	"
CAH2047543.1,TAV2_LOCUS5577,MATH domain,MATH/TRAF domain,GO:0005515,AT2G42455,"MATH	domain/coiled-coil	protein	","28718347	"
CAH2048198.1,TAV2_LOCUS5533,MATH domain,MATH/TRAF domain,GO:0005515,AT2G42455,"MATH	domain/coiled-coil	protein	","28718347	"
CAH2047546.1,TAV2_LOCUS5576,MATH,MATH/TRAF domain,GO:0005515,AT2G42455,"MATH	domain/coiled-coil	protein	","28718347	"
CAH2047676.1,TAV2_LOCUS5046,math_3,MATH/TRAF domain,GO:0005515,AT2G42455,"MATH	domain/coiled-coil	protein	","28718347	"
CAH2047687.1,TAV2_LOCUS5044,MATH,MATH/TRAF domain,GO:0005515,AT2G42455,"MATH	domain/coiled-coil	protein	","28718347	"
CAH2047707.1,TAV2_LOCUS7384,"Apoptosis, Tumor Necrosis Factor Receptor Associated Protein 2; Chain A",TRAF-like,GO:0005515,AT2G42455,"MATH	domain/coiled-coil	protein	","28718347	"
CAH2039219.1,TAV2_LOCUS3890,MATH,MATH/TRAF domain,GO:0005515,AT2G42455,"MATH	domain/coiled-coil	protein	","28718347	"
CAH2039069.1,TAV2_LOCUS2171,math_3,MATH/TRAF domain,GO:0005515,AT2G42455,"MATH	domain/coiled-coil	protein	","28718347	"
CAH2047598.1,TAV2_LOCUS6458,"Apoptosis, Tumor Necrosis Factor Receptor Associated Protein 2; Chain A",TRAF-like,GO:0005515,AT2G42455,"MATH	domain/coiled-coil	protein	","28718347	"
CAH2047581.1,TAV2_LOCUS5283,#N/A,#N/A,#N/A,AT2G42455,"MATH	domain/coiled-coil	protein	","28718347	"
CAH2047602.1,TAV2_LOCUS6459,BNAA01G22060D PROTEIN,-,0,AT2G42455,"MATH	domain/coiled-coil	protein	","28718347	"
CAH2047689.1,TAV2_LOCUS6218,BNAA01G22060D PROTEIN,-,0,AT2G42455,"MATH	domain/coiled-coil	protein	","28718347	"
CAH2070989.1,TAV2_LOCUS22094,BNAA01G22060D PROTEIN,-,0,AT2G42455,"MATH	domain/coiled-coil	protein	","28718347	"
CAH2069886.1,TAV2_LOCUS20096,"Apoptosis, Tumor Necrosis Factor Receptor Associated Protein 2; Chain A",TRAF-like,GO:0005515,AT2G42455,"MATH	domain/coiled-coil	protein	","28718347	"
CAH2069171.1,TAV2_LOCUS19684,MATH,MATH/TRAF domain,GO:0005515,AT2G42455,"MATH	domain/coiled-coil	protein	","28718347	"
CAH2069173.1,TAV2_LOCUS19683,MATH,MATH/TRAF domain,GO:0005515,AT2G42455,"MATH	domain/coiled-coil	protein	","28718347	"
CAH2047583.1,TAV2_LOCUS5280,#N/A,#N/A,#N/A,AT2G42455,"MATH	domain/coiled-coil	protein	","28718347	"
CAH2047715.1,TAV2_LOCUS7382,TRAF-LIKE SUPERFAMILY PROTEIN,-,0,AT2G42455,"MATH	domain/coiled-coil	protein	","28718347	"
CAH2047680.1,TAV2_LOCUS5048,BNAA01G22060D PROTEIN,-,0,AT2G42455,"MATH	domain/coiled-coil	protein	","28718347	"
CAH2063577.1,TAV2_LOCUS15487,F-BOX/RNI SUPERFAMILY PROTEIN-RELATED,-,0,AT5G15620,"F-box/RNI-like	superfamily	protein	","831416	"
CAH2063573.1,TAV2_LOCUS17387,F-box domain,F-box-like domain superfamily,GO:0005515,AT3G59210,"F-box/RNI-like	superfamily	protein	","825090	"
CAH2063579.1,TAV2_LOCUS17388,9598neu4hmm,FBD domain,-,AT3G59190,"F-box/RNI-like	superfamily	protein	","825088	"
CAH2063569.1,TAV2_LOCUS15485,Leucine Rich Repeat,Leucine-rich repeat 2,-,AT5G41630,"F-box/RNI-like	superfamily	protein	","834165	"
CAH2063700.1,TAV2_LOCUS18097,"Apoptosis, Tumor Necrosis Factor Receptor Associated Protein 2; Chain A",TRAF-like,GO:0005515,AT2G05400,"Ubiquitin-specific	protease	family	C19-related	protein	","815088	"
CAH2046649.1,TAV2_LOCUS6414,#N/A,#N/A,#N/A,AT3G42140,"zinc	ion	binding	/	nucleic	acid	binding	protein	","823186	"
CAH2033742.1,TAV2_LOCUS891,F-box domain,F-box-like domain superfamily,GO:0005515,AT3G58950,"F-box/RNI-like	superfamily	protein	","825064	"
CAH2033753.1,TAV2_LOCUS2447,RNI-like,-,0,AT3G58940,"F-box/RNI-like	superfamily	protein	","825063	"
CAH2063605.1,TAV2_LOCUS16625,F-box domain,F-box-like domain superfamily,GO:0005515,AT3G58930,"F-box/RNI-like	superfamily	protein	","825062	"
CAH2065368.1,TAV2_LOCUS17412,F-box domain,F-box-like domain superfamily,GO:0005515,AT3G58880,"F-box/RNI-like	superfamily	protein	","825057	"
CAH2035583.1,TAV2_LOCUS3975,#N/A,#N/A,#N/A,AT4G03728,"uncharacterized	protein	","7922540	"
CAH2070326.1,TAV2_LOCUS20316,Plant transposase (Ptta/En/Spm family),"Probable transposase, Ptta/En/Spm, plant",-,AT4G03728,"uncharacterized	protein	","7922540	"
CAH2035581.1,TAV2_LOCUS3979,Plant transposase (Ptta/En/Spm family),"Probable transposase, Ptta/En/Spm, plant",-,AT4G03728,"uncharacterized	protein	","7922540	"
CAH2046888.1,TAV2_LOCUS5437,Plant transposase (Ptta/En/Spm family),"Probable transposase, Ptta/En/Spm, plant",-,AT4G03728,"uncharacterized	protein	","7922540	"
CAH2060662.1,TAV2_LOCUS12739,Plant transposase (Ptta/En/Spm family),"Probable transposase, Ptta/En/Spm, plant",-,AT4G03728,"uncharacterized	protein	","7922540	"
CAH2079276.1,TAV2_LOCUS22875,#N/A,#N/A,#N/A,AT4G03728,"uncharacterized	protein	","7922540	"
CAH2060472.1,TAV2_LOCUS12576,#N/A,#N/A,#N/A,AT4G03728,"uncharacterized	protein	","7922540	"
CAH2070521.1,TAV2_LOCUS20594,consensus disorder prediction,-,0,AT4G03728,"uncharacterized	protein	","7922540	"
CAH2046462.1,TAV2_LOCUS7732,consensus disorder prediction,-,0,AT4G03728,"uncharacterized	protein	","7922540	"
CAH2035507.1,TAV2_LOCUS1833,#N/A,#N/A,#N/A,AT4G03728,"uncharacterized	protein	","7922540	"
CAH2035505.1,TAV2_LOCUS1832,#N/A,#N/A,#N/A,AT4G03728,"uncharacterized	protein	","7922540	"
CAH2065629.1,TAV2_LOCUS16373,consensus disorder prediction,-,0,AT4G03728,"uncharacterized	protein	","7922540	"
CAH2065630.1,TAV2_LOCUS17153,OS08G0392500 PROTEIN,-,0,AT4G03728,"uncharacterized	protein	","7922540	"
CAH2060872.1,TAV2_LOCUS12943,Plant transposase (Ptta/En/Spm family),"Probable transposase, Ptta/En/Spm, plant",-,AT4G03728,"uncharacterized	protein	","7922540	"
CAH2065564.1,TAV2_LOCUS16147,#N/A,#N/A,#N/A,AT4G03728,"uncharacterized	protein	","7922540	"
CAH2065378.1,TAV2_LOCUS18062,Plant transposase (Ptta/En/Spm family),"Probable transposase, Ptta/En/Spm, plant",-,AT4G03728,"uncharacterized	protein	","7922540	"
CAH2059295.1,TAV2_LOCUS12665,Plant transposase (Ptta/En/Spm family),"Probable transposase, Ptta/En/Spm, plant",-,AT4G03728,"uncharacterized	protein	","7922540	"
CAH2065508.1,TAV2_LOCUS17739,Plant transposase (Ptta/En/Spm family),"Probable transposase, Ptta/En/Spm, plant",-,AT4G03728,"uncharacterized	protein	","7922540	"
CAH2070531.1,TAV2_LOCUS21001,Plant transposase (Ptta/En/Spm family),"Probable transposase, Ptta/En/Spm, plant",-,AT4G03728,"uncharacterized	protein	","7922540	"
CAH2070351.1,TAV2_LOCUS19298,Plant transposase (Ptta/En/Spm family),"Probable transposase, Ptta/En/Spm, plant",-,AT4G03728,"uncharacterized	protein	","7922540	"
CAH2064718.1,TAV2_LOCUS15342,Plant transposase (Ptta/En/Spm family),"Probable transposase, Ptta/En/Spm, plant",-,AT4G03728,"uncharacterized	protein	","7922540	"
CAH2070601.1,TAV2_LOCUS19192,Plant transposase (Ptta/En/Spm family),"Probable transposase, Ptta/En/Spm, plant",-,AT4G03728,"uncharacterized	protein	","7922540	"
CAH2047788.1,TAV2_LOCUS6329,Plant transposase (Ptta/En/Spm family),"Probable transposase, Ptta/En/Spm, plant",-,AT4G03728,"uncharacterized	protein	","7922540	"
CAH2071147.1,TAV2_LOCUS19252,Plant transposase (Ptta/En/Spm family),"Probable transposase, Ptta/En/Spm, plant",-,AT4G03728,"uncharacterized	protein	","7922540	"
CAH2065614.1,TAV2_LOCUS15720,Plant transposase (Ptta/En/Spm family),"Probable transposase, Ptta/En/Spm, plant",-,AT4G03728,"uncharacterized	protein	","7922540	"
CAH2036431.1,TAV2_LOCUS2994,Malectin-like domain,Malectin-like domain,-,AT1G51840,"kinase-like	protein	","841611	"
CAH2036432.1,TAV2_LOCUS2996,Malectin-like domain,Malectin-like domain,-,AT1G51840,"kinase-like	protein	","841611	"
CAH2036430.1,TAV2_LOCUS2995,Malectin-like domain,Malectin-like domain,-,AT1G51840,"kinase-like	protein	","841611	"
CAH2053127.1,TAV2_LOCUS8853,Malectin-like domain,Malectin-like domain,-,AT1G51840,"kinase-like	protein	","841611	"
CAH2036429.1,TAV2_LOCUS3001,Malectin-like domain,Malectin-like domain,-,AT1G51840,"kinase-like	protein	","841611	"
CAH2060204.1,TAV2_LOCUS13816,Malectin-like domain,Malectin-like domain,-,AT1G51840,"kinase-like	protein	","841611	"
CAH2060205.1,TAV2_LOCUS13817,Malectin-like domain,Malectin-like domain,-,AT1G51840,"kinase-like	protein	","841611	"
CAH2060203.1,TAV2_LOCUS14826,Malectin-like domain,Malectin-like domain,-,AT1G51840,"kinase-like	protein	","841611	"
CAH2065222.1,TAV2_LOCUS17068,Malectin-like domain,Malectin-like domain,-,AT1G51840,"kinase-like	protein	","841611	"
CAH2065220.1,TAV2_LOCUS17067,Malectin-like domain,Malectin-like domain,-,AT1G51840,"kinase-like	protein	","841611	"
CAH2069404.1,TAV2_LOCUS20700,Malectin-like domain,Malectin-like domain,-,AT1G51840,"kinase-like	protein	","841611	"
CAH2069405.1,TAV2_LOCUS20707,Malectin-like domain,Malectin-like domain,-,AT1G51840,"kinase-like	protein	","841611	"
CAH2069402.1,TAV2_LOCUS20702,Malectin-like domain,Malectin-like domain,-,AT1G51840,"kinase-like	protein	","841611	"
CAH2069406.1,TAV2_LOCUS20708,Malectin-like domain,Malectin-like domain,-,AT1G51840,"kinase-like	protein	","841611	"
CAH2069403.1,TAV2_LOCUS20699,Malectin-like domain,Malectin-like domain,-,AT1G51840,"kinase-like	protein	","841611	"
CAH2065224.1,TAV2_LOCUS17069,Malectin-like domain,Malectin-like domain,-,AT1G51840,"kinase-like	protein	","841611	"
CAH2079404.1,TAV2_LOCUS23291,Malectin-like domain,Malectin-like domain,-,AT1G51840,"kinase-like	protein	","841611	"
CAH2038654.1,TAV2_LOCUS456,Malectin-like domain,Malectin-like domain,-,AT1G51840,"kinase-like	protein	","841611	"
CAH2060199.1,TAV2_LOCUS14828,Malectin-like domain,Malectin-like domain,-,AT1G51840,"kinase-like	protein	","841611	"
CAH2038652.1,TAV2_LOCUS454,Malectin-like domain,Malectin-like domain,-,AT1G51840,"kinase-like	protein	","841611	"
CAH2070331.1,TAV2_LOCUS18897,Protein kinase domain,Protein kinase domain,GO:0004672|GO:0005524|GO:0006468,AT1G51840,"kinase-like	protein	","841611	"
CAH2060200.1,TAV2_LOCUS14825,Malectin-like domain,Malectin-like domain,-,AT1G51840,"kinase-like	protein	","841611	"
CAH2060206.1,TAV2_LOCUS13814,Malectin-like domain,Malectin-like domain,-,AT1G51840,"kinase-like	protein	","841611	"
CAH2060202.1,TAV2_LOCUS14827,Malectin-like domain,Malectin-like domain,-,AT1G51840,"kinase-like	protein	","841611	"
CAH2060201.1,TAV2_LOCUS14824,Malectin-like domain,Malectin-like domain,-,AT1G51840,"kinase-like	protein	","841611	"
CAH2072613.1,TAV2_LOCUS19710,Tetratricopeptide repeat domain,Tetratricopeptide-like helical domain superfamily,GO:0005515,AT5G16420,"Pentatricopeptide	repeat	(PPR-like)	superfamily	protein	","831503	"
CAH2051329.1,TAV2_LOCUS10399,E-class P450 group I signature,"Cytochrome P450, E-class, group I",GO:0004497|GO:0005506|GO:0016705|GO:0020037,AT5G16420,"Pentatricopeptide	repeat	(PPR-like)	superfamily	protein	","831503	"
CAH2037996.1,TAV2_LOCUS645,P450 superfamily signature,Cytochrome P450,GO:0004497|GO:0005506|GO:0016705|GO:0020037,AT5G16420,"Pentatricopeptide	repeat	(PPR-like)	superfamily	protein	","831503	"
CAH2037998.1,TAV2_LOCUS975,Cytochrome P450,Cytochrome P450,GO:0004497|GO:0005506|GO:0016705|GO:0020037,AT5G16420,"Pentatricopeptide	repeat	(PPR-like)	superfamily	protein	","831503	"
CAH2038000.1,TAV2_LOCUS984,Cytochrome P450,Cytochrome P450,GO:0004497|GO:0005506|GO:0016705|GO:0020037,AT5G16420,"Pentatricopeptide	repeat	(PPR-like)	superfamily	protein	","831503	"
CAH2066266.1,TAV2_LOCUS16143,P450 superfamily signature,Cytochrome P450,GO:0004497|GO:0005506|GO:0016705|GO:0020037,AT5G16420,"Pentatricopeptide	repeat	(PPR-like)	superfamily	protein	","831503	"
CAH2066264.1,TAV2_LOCUS16142,Cytochrome P450,Cytochrome P450 superfamily,GO:0004497|GO:0005506|GO:0016705|GO:0020037,AT5G16420,"Pentatricopeptide	repeat	(PPR-like)	superfamily	protein	","831503	"
CAH2045406.1,TAV2_LOCUS6068,E-class P450 group I signature,"Cytochrome P450, E-class, group I",GO:0004497|GO:0005506|GO:0016705|GO:0020037,AT5G16420,"Pentatricopeptide	repeat	(PPR-like)	superfamily	protein	","831503	"
CAH2045404.1,TAV2_LOCUS6067,P450 superfamily signature,Cytochrome P450,GO:0004497|GO:0005506|GO:0016705|GO:0020037,AT5G16420,"Pentatricopeptide	repeat	(PPR-like)	superfamily	protein	","831503	"
CAH2045398.1,TAV2_LOCUS6059,Cytochrome P450,Cytochrome P450,GO:0004497|GO:0005506|GO:0016705|GO:0020037,AT5G16420,"Pentatricopeptide	repeat	(PPR-like)	superfamily	protein	","831503	"
CAH2045408.1,TAV2_LOCUS6065,Cytochrome P450,Cytochrome P450 superfamily,GO:0004497|GO:0005506|GO:0016705|GO:0020037,AT5G16420,"Pentatricopeptide	repeat	(PPR-like)	superfamily	protein	","831503	"
CAH2069651.1,TAV2_LOCUS19732,Cytochrome P450,Cytochrome P450 superfamily,GO:0004497|GO:0005506|GO:0016705|GO:0020037,AT5G16420,"Pentatricopeptide	repeat	(PPR-like)	superfamily	protein	","831503	"
CAH2045396.1,TAV2_LOCUS6390,Cytochrome P450,Cytochrome P450 superfamily,GO:0004497|GO:0005506|GO:0016705|GO:0020037,AT5G16420,"Pentatricopeptide	repeat	(PPR-like)	superfamily	protein	","831503	"
CAH2049687.1,TAV2_LOCUS8338,P450 superfamily signature,Cytochrome P450,GO:0004497|GO:0005506|GO:0016705|GO:0020037,AT5G16420,"Pentatricopeptide	repeat	(PPR-like)	superfamily	protein	","831503	"
CAH2064237.1,TAV2_LOCUS15208,Cytochrome P450,Cytochrome P450 superfamily,GO:0004497|GO:0005506|GO:0016705|GO:0020037,AT5G16420,"Pentatricopeptide	repeat	(PPR-like)	superfamily	protein	","831503	"
CAH2038002.1,TAV2_LOCUS983,E-class P450 group I signature,"Cytochrome P450, E-class, group I",GO:0004497|GO:0005506|GO:0016705|GO:0020037,AT5G16420,"Pentatricopeptide	repeat	(PPR-like)	superfamily	protein	","831503	"
CAH2045409.1,TAV2_LOCUS6066,E-class P450 group I signature,"Cytochrome P450, E-class, group I",GO:0004497|GO:0005506|GO:0016705|GO:0020037,AT5G16420,"Pentatricopeptide	repeat	(PPR-like)	superfamily	protein	","831503	"
CAH2038008.1,TAV2_LOCUS980,Cytochrome P450,Cytochrome P450,GO:0004497|GO:0005506|GO:0016705|GO:0020037,AT5G16420,"Pentatricopeptide	repeat	(PPR-like)	superfamily	protein	","831503	"
CAH2045415.1,TAV2_LOCUS6061,Cytochrome P450,Cytochrome P450,GO:0004497|GO:0005506|GO:0016705|GO:0020037,AT5G16420,"Pentatricopeptide	repeat	(PPR-like)	superfamily	protein	","831503	"
CAH2064238.1,TAV2_LOCUS15595,E-class P450 group I signature,"Cytochrome P450, E-class, group I",GO:0004497|GO:0005506|GO:0016705|GO:0020037,AT5G16420,"Pentatricopeptide	repeat	(PPR-like)	superfamily	protein	","831503	"
CAH2038006.1,TAV2_LOCUS981,Cytochrome P450,Cytochrome P450 superfamily,GO:0004497|GO:0005506|GO:0016705|GO:0020037,AT5G16420,"Pentatricopeptide	repeat	(PPR-like)	superfamily	protein	","831503	"
CAH2077361.1,TAV2_LOCUS24205,Cytochrome P450,Cytochrome P450 superfamily,GO:0004497|GO:0005506|GO:0016705|GO:0020037,AT5G16420,"Pentatricopeptide	repeat	(PPR-like)	superfamily	protein	","831503	"
CAH2045411.1,TAV2_LOCUS6063,Cytochrome P450,Cytochrome P450 superfamily,GO:0004497|GO:0005506|GO:0016705|GO:0020037,AT5G16420,"Pentatricopeptide	repeat	(PPR-like)	superfamily	protein	","831503	"
CAH2061290.1,TAV2_LOCUS12886,Cytochrome P450,Cytochrome P450 superfamily,GO:0004497|GO:0005506|GO:0016705|GO:0020037,AT5G16420,"Pentatricopeptide	repeat	(PPR-like)	superfamily	protein	","831503	"
CAH2045413.1,TAV2_LOCUS6064,E-class P450 group I signature,"Cytochrome P450, E-class, group I",GO:0004497|GO:0005506|GO:0016705|GO:0020037,AT5G16420,"Pentatricopeptide	repeat	(PPR-like)	superfamily	protein	","831503	"
CAH2076244.1,TAV2_LOCUS24889,Cytochrome P450,Cytochrome P450,GO:0004497|GO:0005506|GO:0016705|GO:0020037,AT4G37400,"cytochrome	""P450,""	family	""81,""	subfamily	""F,""	polypeptide	3	","829894	"
CAH2076242.1,TAV2_LOCUS24890,Cytochrome P450,Cytochrome P450 superfamily,GO:0004497|GO:0005506|GO:0016705|GO:0020037,AT4G37410,"cytochrome	""P450,""	family	""81,""	subfamily	""F,""	polypeptide	4	","829895	"
CAH2069655.1,TAV2_LOCUS19728,P450 superfamily signature,Cytochrome P450,GO:0004497|GO:0005506|GO:0016705|GO:0020037,AT5G57220,"cytochrome	""P450,""	family	""81,""	subfamily	""F,""	polypeptide	2	","835828	"
CAH2080377.1,TAV2_LOCUS26110,Cytochrome P450,Cytochrome P450,GO:0004497|GO:0005506|GO:0016705|GO:0020037,AT4G37430,"cytochrome	""P450,""	family	""91,""	subfamily	""A,""	polypeptide	2	","829897	"
CAH2080368.1,TAV2_LOCUS26107,Cytochrome P450,Cytochrome P450,GO:0004497|GO:0005506|GO:0016705|GO:0020037,AT4G37430,"cytochrome	""P450,""	family	""91,""	subfamily	""A,""	polypeptide	2	","829897	"
CAH2080366.1,TAV2_LOCUS26105,Cytochrome P450,Cytochrome P450 superfamily,GO:0004497|GO:0005506|GO:0016705|GO:0020037,AT4G37430,"cytochrome	""P450,""	family	""91,""	subfamily	""A,""	polypeptide	2	","829897	"
CAH2080364.1,TAV2_LOCUS26106,Cytochrome P450,Cytochrome P450 superfamily,GO:0004497|GO:0005506|GO:0016705|GO:0020037,AT4G37430,"cytochrome	""P450,""	family	""91,""	subfamily	""A,""	polypeptide	2	","829897	"
CAH2080372.1,TAV2_LOCUS26104,Cytochrome P450,Cytochrome P450 superfamily,GO:0004497|GO:0005506|GO:0016705|GO:0020037,AT4G37430,"cytochrome	""P450,""	family	""91,""	subfamily	""A,""	polypeptide	2	","829897	"
CAH2080383.1,TAV2_LOCUS26102,P450 superfamily signature,Cytochrome P450,GO:0004497|GO:0005506|GO:0016705|GO:0020037,AT4G37430,"cytochrome	""P450,""	family	""91,""	subfamily	""A,""	polypeptide	2	","829897	"
CAH2080370.1,TAV2_LOCUS26103,Cytochrome P450,Cytochrome P450 superfamily,GO:0004497|GO:0005506|GO:0016705|GO:0020037,AT4G37430,"cytochrome	""P450,""	family	""91,""	subfamily	""A,""	polypeptide	2	","829897	"
CAH2076254.1,TAV2_LOCUS24884,E-class P450 group I signature,"Cytochrome P450, E-class, group I",GO:0004497|GO:0005506|GO:0016705|GO:0020037,AT4G37430,"cytochrome	""P450,""	family	""91,""	subfamily	""A,""	polypeptide	2	","829897	"
CAH2076250.1,TAV2_LOCUS24886,E-class P450 group I signature,"Cytochrome P450, E-class, group I",GO:0004497|GO:0005506|GO:0016705|GO:0020037,AT4G37430,"cytochrome	""P450,""	family	""91,""	subfamily	""A,""	polypeptide	2	","829897	"
CAH2076252.1,TAV2_LOCUS24885,Cytochrome P450,Cytochrome P450 superfamily,GO:0004497|GO:0005506|GO:0016705|GO:0020037,AT4G37430,"cytochrome	""P450,""	family	""91,""	subfamily	""A,""	polypeptide	2	","829897	"
CAH2076248.1,TAV2_LOCUS24887,P450 superfamily signature,Cytochrome P450,GO:0004497|GO:0005506|GO:0016705|GO:0020037,AT4G37430,"cytochrome	""P450,""	family	""91,""	subfamily	""A,""	polypeptide	2	","829897	"
CAH2045026.1,TAV2_LOCUS6851,Cytochrome P450,Cytochrome P450 superfamily,GO:0004497|GO:0005506|GO:0016705|GO:0020037,AT4G37430,"cytochrome	""P450,""	family	""91,""	subfamily	""A,""	polypeptide	2	","829897	"
CAH2061397.1,TAV2_LOCUS14327,P450 superfamily signature,Cytochrome P450,GO:0004497|GO:0005506|GO:0016705|GO:0020037,AT4G37430,"cytochrome	""P450,""	family	""91,""	subfamily	""A,""	polypeptide	2	","829897	"
CAH2061398.1,TAV2_LOCUS14328,Cytochrome P450,Cytochrome P450,GO:0004497|GO:0005506|GO:0016705|GO:0020037,AT4G37430,"cytochrome	""P450,""	family	""91,""	subfamily	""A,""	polypeptide	2	","829897	"
CAH2067477.1,TAV2_LOCUS18071,E-class P450 group I signature,"Cytochrome P450, E-class, group I",GO:0004497|GO:0005506|GO:0016705|GO:0020037,AT4G37430,"cytochrome	""P450,""	family	""91,""	subfamily	""A,""	polypeptide	2	","829897	"
CAH2076185.1,TAV2_LOCUS23532,E-class P450 group I signature,"Cytochrome P450, E-class, group I",GO:0004497|GO:0005506|GO:0016705|GO:0020037,AT4G37430,"cytochrome	""P450,""	family	""91,""	subfamily	""A,""	polypeptide	2	","829897	"
CAH2076187.1,TAV2_LOCUS23535,Cytochrome P450,Cytochrome P450 superfamily,GO:0004497|GO:0005506|GO:0016705|GO:0020037,AT4G37430,"cytochrome	""P450,""	family	""91,""	subfamily	""A,""	polypeptide	2	","829897	"
CAH2076240.1,TAV2_LOCUS24891,Cytochrome P450,Cytochrome P450 superfamily,GO:0004497|GO:0005506|GO:0016705|GO:0020037,AT4G37430,"cytochrome	""P450,""	family	""91,""	subfamily	""A,""	polypeptide	2	","829897	"
CAH2051672.1,TAV2_LOCUS11419,9598neu4hmm,FBD domain,-,AT3G10750,"FBD	domain	family	","820244	"
CAH2079980.1,TAV2_LOCUS24540,F-box domain,F-box-like domain superfamily,GO:0005515,AT3G10750,"FBD	domain	family	","820244	"
CAH2051845.1,TAV2_LOCUS11607,9598neu4hmm,FBD domain,-,AT3G10750,"FBD	domain	family	","820244	"
